Release Date,Artist,Album,Label
2025-10-24,The Acacia Strain,You Are Safe From God Here,Rise
2025-10-24,Adept,Blood Covenant,Napalm
2025-10-24,Aduanten,Apocryphal Verse,Nameless Grave
2025-10-24,Aligned In Ruins,Algea EP,Self
2025-10-24,Alkemia,Alkemia EP,Inverse
2025-10-24,Arsenic Kitchen,Handbook For The Recently Deceased EP,Self
2025-10-24,Ars Onirica,2.5 Nighttime EP,Ardua
2025-10-24,Bad Juju,Simulacra EP,Self
2025-10-24,Bad Rain,Louder Than Words,Fastball
2025-10-24,Behölder,Tower Of The Broken God EP,Black Lion
2025-10-24,Bergfried,Romantik III,High Roller
2025-10-24,Blackshape,Prismer I EP,Papercut
2025-10-24,Blaze,Out Through The Door,No Remorse
2025-10-24,Bone Church,Deliverance,Ripple
2025-10-24,Bonginator,Retrodeath,Testimony
2025-10-24,Born Divided,Chronicle Of A Shipwreck,Self
2025-10-24,Brainwave,Ill Intent,Self
2025-10-24,Breath,Brahman,Argonauta
2025-10-24,Cattlemass,Alpha 1128,Seeing Red
2025-10-24,Cemetery Moon,Dominion Of Ashes,Self
2025-10-24,Coldrain,Optimize EP,Century Media
2025-10-24,Conjurer,Unself,Nuclear Blast
2025-10-24,Darah,Holier Than Thou,Underground Syndicate
2025-10-24,Dave Tinelt,Power Of Discretion,Self
2025-10-24,Dawn Fades,III,Self
2025-10-24,Dawnwalker,The Between,Room312
2025-10-24,Dayseeker,Creature In The Black Night,Spinefarm
2025-10-24,Daytripper,The Alchemist EP,Self
2025-10-24,Deez Nuts,Saudade,Century Media
2025-10-24,Deteriorot,Awakening,Xtreem
2025-10-24,Devastrosity,Eviscerating Desolation,Comatose
2025-10-24,Devoid Of Thought,Necrotic Surface Discarded,Avantgarde
2025-10-24,Disarray,The Darkening EP,Jawbreaker
2025-10-24,Disfiguring The Goddess,Galopogos EP,Self
2025-10-24,Distaste,Agoniepositur,FDA
2025-10-24,Doro,Warriors Of The Sea,Rare Diamonds
2025-10-24,Downswing,And Everything Was Dark,MNRK
2025-10-24,Drofnosura,Ritual Of Split Tongues,Transcending Obscurity
2025-10-24,Eldur,Rituals Of Death And Necromancy,ATMF
2025-10-24,Elepharmers,Western Wilderness,Electric Valley
2025-10-24,Elettra Storm,Evertale,Scarlet
2025-10-24,Epistulum,Cantiga Psychotica,Self
2025-10-24,Esprit D'Air,Aeons,Starstorm
2025-10-24,Fatal Portrait,An Elusive Instinct For Lascivia Redvx,Black Lion
2025-10-24,Five Finger Death Punch,20 Years Of Finger Finger Death Punch – Best Of Volume 2,Better Noise
2025-10-24,Glasya,Fear,Scarlet
2025-10-24,Goatfather,House Of The Rising Smoke,Argonauta
2025-10-24,Grandma's Ashes,Bruxism,Verycords
2025-10-24,Grave Girls,Empress Of A Shattered Glass,Self
2025-10-24,Hail The Sun,cut.turn.fade.back.,Equal Vision
2025-10-24,Heavensgate,A Heart Is A Heavy Burden EP,Greyscale
2025-10-24,Heavy Pettin,Rock Generation,Silver Lining
2025-10-24,Helix Noire,Becoming The Cure,Self
2025-10-24,Horse Jumper Of Love,Disaster Trick Deluxe Edition,Run For Cover
2025-10-24,Hostilia,Face The Fire,Hammerheart
2025-10-24,In Lieu,Hooligan,Learning Curve
2025-10-24,In Limine,Inveteratus,Rockshots
2025-10-24,Jet Jaguar,Severance,Steamhammer/SPV
2025-10-24,Juliet Ruin,Regime EP,Self
2025-10-24,Karate Steve,Time Under Tension,Self
2025-10-24,Lacertilia,Transcend,Majestic Mountain
2025-10-24,Lars Fredrik Froislie,Quattro Racconti,Karisma
2025-10-24,Leah Martin-Brown,Love & Other Crimes,Frontiers
2025-10-24,Leprous,An Evening Of Atonement,InsideOut
2025-10-24,Leylines,Sepulchral EP,Self
2025-10-24,The Lunar Effect,Fortune's Always Hiding,Svart
2025-10-24,Maladie,Symptoms V EP,Apostasy
2025-10-24,Mammoth,The End,BMG
2025-10-24,Mastiff,For All The Dead Dreams EP,Church Road
2025-10-24,Mos Generator,Live At Roadburn Festival 2008,Savant Guarde
2025-10-24,Mugger,Want The World EP,Quiet Panic
2025-10-24,The Munsens,Degradation In The Hyperreal,Self
2025-10-24,Necronemesis/Gangrenesia,Putrid Sanctity Split EP,HPGD
2025-10-24,Nine Treasures,Seeking The Absolute,Metal Blade
2025-10-24,Old Year,No Dissent,Apocalyptic Witchcraft
2025-10-24,Our Oceans,Right Here Right Now,Long Branch
2025-10-24,Outerburst,Witchcraft,Self
2025-10-24,P+A+G+E+S,No More Can Be Done,Self
2025-10-24,Përl,Architecture Du Vertige,Self
2025-10-24,Peterified,Trial By Fire,Self
2025-10-24,Phaeton,Neurogenesis,INB
2025-10-24,Ping,Songs From The Nebula,Apollon
2025-10-24,Post Death Soundtrack,Grist,Self
2025-10-24,Psychonaut,World Maker,Pelagic
2025-10-24,Remina,The Silver Sea,Avantgarde
2025-10-24,Reverya,Affliction In Bloom,Self
2025-10-24,Ronnie Romero,Backbone,Frontiers
2025-10-24,Scorching Tomb,Ossuary,Time To Kill
2025-10-24,Scythe Beast,Anthem Of The Rotten,Self
2025-10-24,Secret Rule,X,Rockshots
2025-10-24,Seigmen,Dissonans,Indie
2025-10-24,Seraina Telli,Green,Metalville
2025-10-24,Serj Tankian,"<Covers, Collaborations & Cllages",Serjical Strike
2025-10-24,Shiraz Lane,In Vertigo,Frontiers
2025-10-24,Since April,Rebirth,Self
2025-10-24,Sinister Days,Disconnect Society EP,Self
2025-10-24,Solar Sons,Altitude,Argonauta
2025-10-24,Something Is Waiting,Livelick,Learning Curve
2025-10-24,Soulfly,Chama,Nuclear Blast
2025-10-24,Speed,All My Angels EP,Flatspot
2025-10-24,Spiritual Cramp,Rude,Blue Grape
2025-10-24,Spøgelse,Spøgelse II,Welfare Sounds
2025-10-24,StarAce,Real,Self
2025-10-24,Sumo Cyco,Neon Void,Self
2025-10-24,Takipnik,Awakened,Self
2025-10-24,Thaumaturgy,Pestilential Hymns,Memento Mori
2025-10-24,Them,Psychedelic Enigma,Steamhammer
2025-10-24,Thus Live Humans,Art Deco II,Self
2025-10-24,Torture Hammer,Torture Hammer EP,Creator-Destructor
2025-10-24,Trash Compactor,Trash Compactor EP,Self
2025-10-24,Tuesday The Sky,Indoor Enthusiast,Metal Blade
2025-10-24,Tyson Motsenbocker,Modern Worries,Tooth & Nail
2025-10-24,Under Black Sky,Bad Blood,Self
2025-10-24,Valletta,Bitter Lucid Truth EP,Lifeforce
2025-10-24,Vanguardian,III: Inhumanity,Inverse
2025-10-24,Various Artists,Can't Get Enough: A Tribute To Bad Company,Self
2025-10-24,Vowws,I'll Fill Your House With An Army,Out Of Line
2025-10-24,Wino,Create Or Die,Ripple
2025-10-24,Wrathchild America,Climbin' The Walls Re-Release,Dissonance
2025-10-31,Abominator,The Fire Brethren,Hells Headbangers
