2025-10-26,Morbum,Inexorable putrefacción,
2025-10-26,Ariabl'eyes,月影の魔女アイビー,
2025-10-26,Pratanallis,Crimson Darkness,
2025-10-26,Mistrooms,Theolia,
2025-10-26,Zellos,Waltraute,
2025-10-26,Resonecia,Minne,
2025-10-26,Sakis Tolis,Orkizomai,
2025-10-26,Discordance,Abisso,
2025-10-26,Silva Nigra,The Art of Fate,
2025-10-26,Void of Nothingness,"1,007 276 5 u",
2025-10-26,Bigg Men,(Unreleased),
2025-10-26,Jake Genest,1986,
2025-10-26,Perkunas,And Shadows Call My Name,
2025-10-26,Seventh Sight,Wings of Perdition,
2025-10-26,Eugenics Scarlet Divinity,Empress,
2025-10-27,Evil Beast,Summoning the Beast,
2025-10-27,Pillory,Old Soul,
2025-10-28,Butchered,Unholy Undead,
2025-10-28,Combat Noise,30 Years of Cuba Death Metal,
2025-10-28,Autopsy Torment,Splattered Demo 1989 + Extras,
2025-10-29,Slumdweller,Electronic Sounds from the Forest,
2025-10-29,Wyld Timez,Infernal Possession,
2025-10-29,Chaos Perversion,The Judgment of Malkuth,
2025-10-29,Rottenness / SaintBreaker,Japan Tour Split 2025,
2025-10-30,Pentakunt,The Kult of Kunt,
2025-10-30,Fjøsnisse,Svartbeiset Fjøs,
2025-10-30,Mägo de Oz,Malicia: La noche de las brujas,
2025-10-30,Wicked Trip,Tales From Beyond The Grave,
2025-10-30,Demoniac,Nube Negra En Vivo,
2025-10-30,Nyrak,Phoenix Mortis,
2025-10-30,Saeva,I Hope You've Healed from All You Wouldn't Say,
2025-10-31,The A.X.E. Project,IV,
2025-10-31,Bloody Moon,Lost & Damned,
2025-10-31,Runemagick,Cycle of the Dying Sun (Dawn of Ashen Realms),
2025-10-31,Gutsaw,Fuck Me I'm Undead,
2025-10-31,Despised Icon,Shadow Work,
2025-10-31,Redshark,Sudden Impact,
2025-10-31,Die Apokalyptischen Reiter,Freie Republik Reitermania,
2025-10-31,Stillbirth,Survival Protocol,
2025-10-31,DET,Destructive Elite Terror,
2025-10-31,Voorhees,4,
2025-10-31,Howling Giant,Crucible & Ruin,
2025-10-31,Dead Twilight,Endless Prophecy,
2025-10-31,Trivium,Struck Dead,
2025-10-31,Outlaw,Opus Mortis,
2025-10-31,Dwelling Below,Wearisome Guardians,
2025-10-31,Archaic Thorn,Malicious Spears,
2025-10-31,Malakhim,And in Our Hearts the Devil Sings,
2025-10-31,Ëvil Sínner,Fears to Fathom,
2025-10-31,Empire Drowns,Endless Nights,
2025-10-31,Moonspell,Opus Diabolicum,
2025-10-31,Aquilla,Sentinels of New Dawn,
2025-10-31,Tales of Mike,Human,
2025-10-31,Night in Gales,Sylphlike (Re-Recording 2025),
2025-10-31,Starlight Ritual,Rogue Angels,
2025-10-31,Bastard Cröss,Crossripper,
2025-10-31,Heteropsy,Embalming,
2025-10-31,Believe in Nothing,Rot,
2025-10-31,Mystic Circle,Hexenbrand 1486,
2025-10-31,Defecto,Echoes of Isolation,
2025-10-31,One of Nine,Dawn of the Iron Shadow,
2025-10-31,Krolok,Path to the Haunted Ruins,
2025-10-31,Medieval Steel,Last Star Fighter - Demos & Live,
2025-10-31,Avatar,Don't Go in the Forest,
2025-10-31,Thron,Vurias,
2025-10-31,Creeper,Crushing,
2025-10-31,Sardonyx,Anthems of Warfare,
2025-10-31,Aephanemer,Utopie,
2025-10-31,Arallu,DMoon - From the Ancient World,
2025-10-31,Germán Pascual,Beyond Our Comprehension,
2025-10-31,Absolon,In the Halls of Silence,
2025-10-31,Testimony of Apocalypse,Agony in the Garden,
2025-10-31,Abominator,The Fire Brethren,
2025-10-31,Ulvehyrde,Dødsdømt,
2025-10-31,Häxär,Teufelskult,
2025-10-31,Hammerfilosofi,Signum,
2025-10-31,Binah,Ónkos,
2025-10-31,Sarayasign,Shadows of the Dying Light,
2025-10-31,T.H.E.M.,Salem,
2025-10-31,Cemican,U k'u'uk'ankil Mayakaaj,
2025-10-31,Primitive Man,Observance,
2025-10-31,Orgrel,The Abyssal Terror,
2025-10-31,Ария,Когда настанет завтра,
2025-10-31,Pile of Knives,Driven by the Blade,
2025-10-31,Burned in Effigy,Tyrannus Aeternum,
2025-10-31,Draugrhanaz,The Codex Universam,
2025-10-31,Grave Ghoul,Gruesome and Macabre,
2025-10-31,DannaH Project,Veneficus in Paradisum,
2025-10-31,Flesia,Achterbahnekstase,
2025-10-31,Shades of Deep Water,The Years on Borrowed Time,
2025-10-31,Sad,Fullmoon's Bestial Awakening,
2025-10-31,Damned by the Pope,Blasphemy Perpetuated,
2025-10-31,Miasmata,Subterrania,
2025-10-31,Nobody,"No Light, No Life, No Salvation",
2025-10-31,Orm,Guld,
2025-10-31,Scheusal,Fressfeind,
2025-10-31,Crossover,Miserere,
2025-10-31,Heraldic Blaze,Monument of Will,
2025-10-31,Kvad,Sort skogsmesse,
2025-10-31,Incriminating Silence,Rite of Reflection,
2025-10-31,Elenion,The Symphony of the Night,
2025-10-31,Embraced by Darkness,Ex Inferis,
2025-10-31,Sypsis,Annihilated Existence,
2025-10-31,Demiurgus,Equilibrio,
2025-10-31,Tassi,Sky Asset 天道酬勤,
2025-10-31,Araphel,The Endchanter,
2025-10-31,Rietas,Torne Valley Black Metal,
2025-10-31,Inferisium,In Hell,
2025-10-31,Ominous Moon,Burning,
2025-10-31,White Rune,Eventide on Aurora,
2025-10-31,Enshroud,Despise the Light,
2025-10-31,Infrahumano,Depths of Suffering,
2025-10-31,Suicide Forest,IX of Swords,
2025-10-31,Chained to the Dead,Something Happened on the Way to Hell,
2025-10-31,Funeral Harvest,Malum in Se,
2025-10-31,Suffering,Enthralled,
2025-10-31,Fír,Het sinistere oog,
2025-10-31,Dragon,Live in Pain,
2025-10-31,Misanthropic Might,Qualzucht,
2025-10-31,Satan's Hammer,El despertar de Satán,
2025-10-31,Selfgod,Left Hand Pagan,
2025-10-31,Blackthorn,Hexsecratus,
2025-10-31,Sligm,Untethered Dimensions,
2025-10-31,Blind Maniac,Car Trouble,
2025-10-31,Face Scraper,Goat Smoker,
2025-10-31,Circling Vultvre,Luminous Decay,
2025-10-31,Cutthroat,Cutthroat,
2025-10-31,Parasite,Indoctrination Rituals,
2025-10-31,Nachtkreatur,Kreaturenkrankheit,
2025-10-31,Fearthropod,Stammbaum (feat. Maldos of Lethal Creation),
2025-10-31,Poodator,Avalanche,
2025-10-31,Stworz,U śmierci na komornem,
2025-10-31,Nightveil / Ukhu Pacha,Nightveil / Ukhu Pacha,
2025-10-31,Ice Howl,The Ledger of Timeless Watchers Pt. 1,
2025-10-31,Elvenking,Children of Decadence,
2025-10-31,400,Los Códices Perdidos,
2025-10-31,Erroiak,Chants d’outre nuit,
2025-10-31,Doomsayer,The Illusion of Choice,
2025-10-31,Oneironoia,The Great Resignation,
2025-11-01,Death Yell,Asmodeus' Disciples,
2025-11-01,Erebus,Χάος | Chaos,
2025-11-01,Black Bleeding,Blutwurst,
2025-11-01,Vicissitude / Pale Spektre,Fumerole Cauterization in Strigoic Wanion,
2025-11-01,Heretica,Veil of Eternal Dusk,
2025-11-01,Wayd,Reinvent,
2025-11-01,Athanatos,Ancient Northern Metal Attack,
2025-11-01,Godchilla,Psionic Dreams,
2025-11-01,Tatterdemalion,Ultraterrestrial,
2025-11-01,Kalkumakuñ,Furiyampai Mew (Chem no Rume）,
2025-11-01,Ondrædan,La nueva edad,
2025-11-01,Nepal,El legado de una leyenda,
2025-11-01,Hexalter,Coronation in Chaos,
2025-11-01,Rogga Johansson,Dreaming the Otherwhere,
2025-11-02,Mortis Mutilati,Dead in Paris 2025,
2025-11-02,On the Loose,Path to Serenity,
2025-11-02,Shivered,Chains,
2025-11-02,Nervous,Cruelty in Innocence,
2025-11-03,Gastrorrexis,Dominant Disease,
2025-11-04,Witcher,Öröklét,
2025-11-04,Cuttermess,Lie/Sense,
2025-11-05,Godark,Omniscience,
