2025-01-03,Paleface Swiss,Cursed,
2025-01-06,Dreadnaught,Shutdown in a Heartbeat,
2025-01-10,Ex Deo,Year of the Four Emperors (EP),
2025-01-10,The Halo Effect,March of the Unheard,
2025-01-10,Stick to Your Guns,Keep Planting Flowers,
2025-01-10,Tremonti,The End Will Show Us How,
2025-01-17,Dark Fortress,Anthems from Beyond the Grave (live album),
2025-01-17,Eidola,Mend,
2025-01-17,Grave Digger,Bone Collector,
2025-01-17,Necrodeath,Arimortis,
2025-01-17,Tokyo Blade,Time Is the Fire,
2025-01-22,Nemophila,Apple of My Eye,
2025-01-24,Avatarium,"Between You, God, the Devil and the Dead",
2025-01-24,Blacktoothed,Headway,
2025-01-24,Bonfire,Higher Ground,
2025-01-24,Bumblefoot,Bumblefoot ...Returns!,
2025-01-24,Dax Riggs,7 Songs for Spiders,
2025-01-24,Harakiri for the Sky,Scorched Earth,
2025-01-24,Labyrinth,In the Vanishing Echoes of Goodbye,
2025-01-24,Oni,Genesis (EP),
2025-01-24,Riverside,Live ID. (live album),
2025-01-24,Thin Lizzy,Acoustic Sessions,
2025-01-30,Enterprise Earth,Descent Into Madness,
2025-01-31,All That Remains,Antifragile,
2025-01-31,Confess,Destination Addiction,
2025-01-31,Pentagram,Lightning in a Bottle,
2025-01-31,Revenge,Violation.Strife.Abominate,
2025-01-31,Thomas Erak,(AU),
2025-02-07,16,Guides for the Misguided,
2025-02-07,Dream Theater,Parasomnia,
2025-02-07,Impending Doom,Towards the Light (EP),
2025-02-07,Jinjer,Duél,
2025-02-07,Majestica,Power Train,
2025-02-07,Marko Hietala,Roses from the Deep,
2025-02-07,Obscura,A Sonication,
2025-02-10,Septicflesh,Amphibians (EP),
2025-02-14,Bleeding Through,Nine,
2025-02-14,Church Tongue,You'll Know It Was Me (EP),
2025-02-14,Crazy Lixx,Thrill of the Bite,
2025-02-14,Dawn of Solace,Affliction Vortex,
2025-02-14,Dynazty,Game of Faces,
2025-02-14,Lacuna Coil,Sleepless Empire,
2025-02-14,Mantar,Post Apocalyptic Depression,
2025-02-14,Raven,Can't Take Away the Fire (EP),
2025-02-14,Scorpion Child,I Saw the End as It Passed Right Through Me,
2025-02-14,Twiztid,Welcome to Your Funeral,
2025-02-14,With Blood Comes Cleansing,With Blood Comes Cleansing,
2025-02-18,A Day to Remember,Big Ole Album Vol. 1,
2025-02-21,David Lee Roth,The Warner Recordings 1985–1994 (box set),
2025-02-21,Killswitch Engage,This Consequence,
2025-02-21,Nachtblut,Todschick,
2025-02-21,Pissgrave,Malignant Worthlessness,
2025-02-21,Sacrifice,Volume Six,
2025-02-21,Scour,Gold,
2025-02-28,Architects,"The Sky, the Earth & All Between",
2025-02-28,Arion,The Light That Burns the Sky,
2025-02-28,Avantasia,Here Be Dragons,
2025-02-28,Brainstorm,Plague of Rats,
2025-02-28,Cloakroom,Last Leg of the Human Table,
2025-02-28,Dirkschneider,Balls to the Wall – Reloaded (covers album),
2025-02-28,Enemy Inside,Venom,
2025-02-28,Eric Bass,I Had a Name,
2025-02-28,Hirax,Faster than Death,
2025-02-28,Master,40 Years and Killing (EP),
2025-02-28,Robin McAuley,Soulbound,
2025-03-01,Love/Hate,Punk Rock Fiesta!,
2025-03-04,Avulsed,Phoenix Cryptobiosis,
2025-03-06,Raging Speedhorn,Night Wolf,
2025-03-07,Balance Breach,Save Our Souls,
2025-03-07,Carnal Forge,The Fractured Process (EP),
2025-03-07,Christian Mistress,Children of the Earth,
2025-03-07,Destruction,Birth of Malice,
2025-03-07,Edge of Paradise,Prophecy,
2025-03-07,Lacrimosa,Lament,
2025-03-07,Rainbows Are Free,Silver and Gold,
2025-03-07,Sadist,Something to Pierce,
2025-03-07,Spiritbox,Tsunami Sea,
2025-03-07,Whitechapel,Hymns in Dissonance,
2025-03-07,The Wildhearts,Satanic Rites of the Wildhearts,
2025-03-14,Coheed and Cambria,Vaxis – Act III: The Father of Make Believe,
2025-03-14,Dead Rabbitts,Redefined,
2025-03-14,Heathen,Bleed the World: Live (live album),
2025-03-14,Manntra,Titans,
2025-03-14,Nightstalker,Return from the Point of No Return,
2025-03-14,Purified in Blood,Primal Pulse Thunder,
2025-03-14,Red Fang,Deep Cuts (compilation album),
2025-03-14,Ricky Warwick,Blood Ties,
2025-03-14,Rwake,The Return of Magik,
2025-03-14,Simon McBride,Recordings 2020–2025,
2025-03-14,Temperance,From Hermitage to Europe (live album),
2025-03-14,Warbringer,Wrath and Ruin,
2025-03-21,Bloodywood,Nu Delhi,
2025-03-21,Cradle of Filth,The Screaming of the Valkyries,
2025-03-21,Disarmonia Mundi,The Dormant Stranger,
2025-03-21,Drudkh,Shadow Play,
2025-03-21,Imperial Triumphant,Goldstar,
2025-03-21,Lordi,Limited Deadition,
2025-03-21,Molotov Solution,Void (EP),
2025-03-21,Pop Evil,What Remains,
2025-03-21,Psyclon Nine,And Then Oblivion,
2025-03-21,Rush,Rush 50 (box set),
2025-03-21,Soul Demise,Against the Abyss,
2025-03-28,Alien Weaponry,Te Rā,
2025-03-28,Amenra,De Toorn,
2025-03-28,Arch Enemy,Blood Dynasty,
2025-03-28,The Darkness,Dreams on Toast,
2025-03-28,Deafheaven,Lonely People with Power,
2025-03-28,Don Airey,Pushed to the Edge,
2025-03-28,Judicator,Concord,
2025-03-28,Memphis May Fire,Shapeshifter,
2025-03-28,Ministry,The Squirrely Years Revisited,
2025-03-28,Sick Puppies,Wave the Bull,
2025-03-28,Svartsyn,Vortex of the Destroyer,
2025-03-28,Teitanblood,From the Visceral Abyss,
2025-03-28,Underoath,The Place After This One,
2025-04-04,Allegaeon,The Ossuary Lens,
2025-04-04,Benediction,Ravage of Empires,
2025-04-04,Bleed from Within,Zenith,
2025-04-04,L.A. Guns,Leopard Skin,
2025-04-04,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Death Hilarious,
2025-04-04,Rotting Christ,35 Years of Evil Existence – Live in Lycabettus (live album),
2025-04-04,Thornhill,Bodies,
